First name,Name,CK section,Term 2011-2012,Term 2013-2016,Term 2017-2020,Scientific discipline,Affiliation
Jolanta,Dylewska,7,0,0,1,sztuki filmowe,Państwowa Wyższa Szkoła Filmowa Telewizyjna i Teatralna im. Leona Schillera w Łodzi Wydział Operatorski i Realizacji Telewizyjnej
Danuta,Dzierżanowska,4,1,0,0,medycyna,"Instytut „Pomnik-Centrum Zdrowia Dziecka"" w Warszawie"
Adam,Dziki,4,0,0,1,medycyna,Uniwersytet Medyczny w Łodzi I Katedra Chirurgii
Władysław,Dąbrowski,5,0,0,1,biofizyka,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Jerzy,Długoński,3,0,1,1,mikrobiologia,Uniwersytet Łódzki
Jan,Ebert,6,1,0,0,elektronika,Politechnika Warszawska
Jerzy,Fabiszewski,3,1,0,0,ekologia,Uniwersytet Przyrodniczy we Wrocławiu
Bogusław,Fiedor,2,1,0,0,ekonomia,Uniwersytet Ekonomiczny we Wrocławiu
Tadeusz,Figiel,5,1,0,0,matematyka,Instytut Matematyczny PAN w Sopocie
Kazimierz,Flaga,6,1,0,0,budownictwo,Politechnika Krakowska im. Tadeusza Kościuszki
Zbigniew,Florjańczyk,5,1,1,1,technologia chemiczna,Politechnika Warszawska
Krzysztof,Formicki,3,1,1,1,rybactwo,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie
Teresa,Fortuna,3,0,0,1,technologia żywności i żywienia,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie
Kazimierz,Furtak,6,0,0,1,budownictwo,Politechnika Krakowska im. Tadeusza Kościuszki
Zbigniew,Gaciong,4,1,1,1,medycyna,Warszawski Uniwersytet Medyczny
Stanisław,Gajda,1,1,0,0,językoznawstwo,Uniwersytet Opolski
Józef,Gawlik,6,0,1,1,budowa i eksploatacja maszyn,Politechnika Krakowska im. Tadeusza Kościuszki
Jacek,Gawroński,5,0,1,0,chemia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Jan,Gawęcki,3,1,0,0,technologia żywności i żywienia,Uniwersytet Przyrodniczy w Poznaniu
Robert,Gałązka,5,1,0,0,fizyka,Instytut Fizyki PAN w Warszawie
Zofia,Gdaniec,5,0,0,1,biochemia,Instytut Chemii Bioorganicznej Polskiej Akademii Nauk
Jerzy,Gierusz,2,0,0,1,finanse,Uniwersytet Gdański
Marian,Giżejowski,6,0,1,1,budownictwa,Politechnika Warszawska
Beata,Glinka,1,0,0,1,nauki o zarządzaniu,Uniwersytet Warszawski
Krzysztof,Globisz,7,0,1,0,sztuki teatralne,Państwowa Wyższa Szkoła Teatralna im. Ludwika Solskiego w Krakowie
Andrzej,Gomułowicz,1,0,1,0,prawo,Uniwersytet im. Adama Mickiewicza w Poznaniu
Elżbieta,Gondek,1,1,0,0,bibliologia i informatologia,Uniwersytet Śląski
Marian,Gorynia,2,1,0,1,ekonomia,Uniwersytet Ekonomiczny w Poznaniu
Tomasz,Gruszecki,3,0,0,1,zootechnika,Uniwersytet Przyrodniczy w Lublinie
Edward,Guzik,6,0,1,1,metalurgia,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Sławomir,Gzell,6,1,1,0,architektura i urbanistyka,Politechnika Warszawska
Jolanta,Góralczyk,7,0,0,1,sztuki teatralne,Państwowa Wyższa Szkoła Teatralna im. L. Solskiego w Krakowie Wydział Lalkarski we Wrocławiu
Paweł,Góralczyk,1,1,1,0,nauki teologiczne,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie
Wojciech,Góralski,1,1,0,0,prawo kanoniczne,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie
Henryk,Górecki,5,1,1,0,technologia chemiczna,Politechnika Wrocławska
Lech,Górniewicz,5,1,0,0,matematyka,Uniwersytet Mikołaja Kopernika w Toruniu
Maria,Górska,4,0,1,0,medycyna,Uniwersytet Medyczny w Białymstoku
Renata,Górska,4,1,0,0,stomatologia,Warszawski Uniwersytet Medyczny
Aleksandra,Górska-Szajewska,7,1,0,0,sztuki teatralne,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie
Andrzej,Górski,4,1,0,0,biologia medyczna,Warszawski Uniwersytet Medyczny
Jan,Górski,4,1,0,0,medycyna,Uniwersytet Medyczny w Białymstoku
Krzysztof,Góźdź,1,1,1,1,nauki teologiczne,Katolicki Uniwersytet Lubelski Jana Pawła II
Andrzej,Gładysz,4,1,0,0,medycyna,Akademia Medyczna im. Piastów Śląskich we Wrocławiu
Adam,Hamrol,6,0,0,1,budowa i eksploatacja maszyn,Politechnika Poznańska
Mirosława,Hanusiewicz-Lavallee,1,0,0,1,literaturoznawstwo,Katolicki Uniwersytet Lubelski Jana Pawła II
Roman,Hauser,1,0,1,1,nauki o administracji,Uniwersytet im. Adama Mickiewicza w Poznaniu
Andrzej,Heim,6,1,0,0,inżynieria chemiczna,Politechnika Łódzka
Krzysztof,Hejke,7,0,1,1,sztuki filmowe,Państwowa Wyższa Szkoła Filmowa Telewizyjna i Teatralna im. Leona Schillera w Łodzi
Ryszard,Hycner,5,1,0,0,geodezja i kartografia,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Paweł,Idziak,5,0,1,1,informatyka,Uniwersytet Jagielloński w Krakowie
Hubert,Izdebski,1,1,1,0,nauki o administracji,Uniwersytet Warszawski
Marek,Jabłonowski,1,0,1,1,nauki o mediach,Uniwersytet Warszawski
Witold,Jacyków,7,0,1,1,sztuki filmowe,Uniwersytet Śląski w Katowicach
Paweł,Jagodziński,4,0,0,1,biologia medyczna,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu
Krzysztof,Jajuga,2,1,1,1,ekonomia,Uniwersytet Ekonomiczny we Wrocławiu
Adam,Jakubowski,5,0,1,0,matematyka,Uniwersytet Mikołaja Kopernika w Toruniu
Marek,Jakóbisiak,4,0,1,0,biologia medyczna,Warszawski Uniwersytet Medyczny
Zbigniew,Janczewski,1,0,0,1,prawo kanoniczne,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie
Włodzimierz,Janke,6,1,0,0,elektronika,Politechnika Koszalińska
Andrzej,Jankowski,5,1,0,0,geografia,Uniwersytet Śląski w Katowicach
Jan,Jankowski,3,1,1,1,zootechnika,Uniwersytet Warmińsko-Mazurski w Olsztynie
Małgorzata,Jankun-Woźnicka,3,0,1,0,rybactwo,Uniwersytet Warmińsko-Mazurski w Olsztynie
Tomasz,Janowski,3,1,1,1,nauki weterynaryjne,Uniwersytet Warmińsko- Mazurski w Olsztynie
Andrzej,Januszewicz,4,0,0,1,medycyna,Instytut Kardiologii im. Prymasa Tysiąclecia Stefana Kardynała Wyszyńskiego
Wiesława,Jarmuszkiewicz,3,0,0,1,biochemia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Barbara,Jarząb,4,0,0,1,biologia medyczna,Centrum Onkologii-Instytut im. Marii Skłodowskiej-Curie Oddział w Gliwicach
Andrzej,Jarzębski,6,0,0,1,inżynieria chemiczna,Instytut Inżynierii Chemicznej Polskiej Akademii Nauk ORAZ Politechnika Śląska
Jan,Jasiczak,2,1,1,0,towaroznawstwo,Uniwersytet Ekonomiczny w Poznaniu
Zofia,Jasińska,3,1,0,0,agronomia,Uniwersytet Przyrodniczy we Wrocławiu
Tomasz,Jasiński,1,0,1,1,historia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Krzysztof,Jażdżewski,3,1,0,0,biologia,Uniwersytet Łódzki
Leopold,Jeziorski,6,1,0,0,inżynieria materiałowa,Politechnika Częstochowska
Jerzy,Jeznach,3,0,0,1,ochrona i kształtowanie środowiska,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie
Janusz,Jeżowiecki,6,1,1,0,inżynieria środowiska,Politechnika Wrocławska
Bogumiła,Jung,7,1,1,0,sztuki projektowe,Uniwersytet Artystyczny w Poznaniu
Witold,Jurek,2,0,1,1,ekonomia,Uniwersytet Ekonomiczny w Poznaniu
Wiesław,Jędrzejczak,4,0,0,1,medycyna,Warszawski Uniwersytet Medyczny
Wojciech,Kacalak,6,0,1,0,budowa i eksploatacja maszyn,Politechnika Koszalińska
Janusz,Kacprzyk,6,0,1,1,informatyka,Instytut Badań Systemowych Polskiej Akademii Nauk w Warszawie
Waldemar,Kaczmarek,1,0,1,1,nauki o obronności,Akademia Obrony Narodowej w Warszawie
Tadeusz,Kaczorek,6,1,0,0,automatyka i robotyka,Politechnika Białostocka
Jerzy,Kaczorowski,5,1,0,0,matematyka,Uniwersytet im. Adama Mickiewicza w Poznaniu
Paweł,Kafarski,5,1,1,1,chemia,Politechnika Wrocławska
Kalina,Kawecka-Jaszcz,4,1,0,0,medycyna,Uniwersytet Jagielloński w Krakowie
Agnieszka,Kijewska,1,0,1,1,filozofia,Katolicki Uniwersytet Lubelski Jana Pawła II
Danuta,Kisielewska,5,1,0,0,fizyka,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Jerzy,Klamka,6,1,1,0,automatyka i robotyka,Politechnika Śląska
Tadeusz,Klimowicz,1,1,0,0,nauki filologiczne,Uniwersytet Wrocławski
Marian,Klinger,4,0,1,1,medycyna,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu
Włodzimierz,Kluciński,3,1,1,0,nauki weterynaryjne,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie
Zygmunt,Klusek,5,0,1,0,oceanologia,Instytut Oceanologii PAN w Sopocie
Krzysztof,Knittel,7,0,0,1,reżyseria dźwięku,Uniwersytet Muzyczny Fryderyka Chopina
Ryszard,Knosala,6,0,1,0,inżynieria produkcji,Politechnika Opolska
Wojciech,Kobrzyński,7,0,0,1,sztuki teatralne,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie Wydział Sztuki Lalkarskiej
Zenon,Kokot,4,1,1,0,nauki farmaceutyczne,Uniwersytet Medyczny w Poznaniu
Leszek,Kolankiewicz,1,0,0,1,kulturoznawstwo,Uniwersytet Warszawski
Wacław,Kollek,6,1,0,0,budowa i eksploatacja maszyn,Politechnika Wrocławska
Wiesław,Komasa,7,0,1,0,sztuki teatralne,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie
Andrzej,Koncicki,3,0,0,1,weterynaria,Uniwersytet Warmińsko-Mazurski w Olsztynie
Tomasz,Konopka,4,0,1,1,stomatologia,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu
Józef,Korbicz,6,0,1,1,automatyka i robotyka,Uniwersytet Zielonogórski
Henryk,Koroniak,5,1,0,0,chemia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Grażyna,Korpal,7,1,1,0,konserwacja i restauracja dzieł sztuki,Akademia Sztuk Pięknych im. Jana Matejki w Krakowie
Ryszard,Korycki,6,0,0,1,włókiennictwo,Politechnika Łódzka
Cezary,Kosikowski,1,1,0,0,prawo,Europejska Wyższa Szkoła Prawa i Administracji w Warszawie
Jacek,Kossut,5,0,1,1,fizyka,Instytut Fizyki PAN w Warszawie
Stanisław,Kostrzewa,3,1,0,0,kształtowanie środowiska,Uniwersytet Przyrodniczy we Wrocławiu
Andrzej,Kotecki,3,0,1,1,agronomia,Uniwersytet Przyrodniczy we Wrocławiu
Paweł,Koteja,3,0,0,1,ekologia,Uniwersytet Jagielloński
Irena,Kotowska,2,0,1,0,ekonomia,Szkoła Główna Handlowa w Warszawie
Janusz,Kowal,6,0,1,1,mechanika,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Tadeusz,Kowalski,3,0,1,1,leśnictwo,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie
Maria,Koziołkiewicz,5,1,0,0,biotechnologia,Politechnika Łódzka
Monika,Kozłowska,3,0,0,1,ogrodnictwo,Uniwersytet Przyrodniczy w Poznaniu
Krzysztof,Kozłowski,6,0,1,1,automatyka i robotyka,Politechnika Poznańska 
Sławomir,Kołodziej,5,0,0,1,matematyka,Uniwersytet Jagielloński
Eugeniusz,Kołota,3,1,0,0,ogrodnictwo,Uniwersytet Przyrodniczy we Wrocławiu
Elżbieta,Krajewska-Kułak,4,0,1,1,nauki o zdrowiu,Uniwersytet Medyczny w Białymstoku
Marek,Krawczyk,4,1,0,0,medycyna,Warszawski Uniwersytet Medyczny
Stanisław,Krawczyński,7,0,1,0,dyrygentura,Akademia Muzyczna w Krakowie
Izabella,Krucińska,6,1,1,0,włókiennictwo,Politechnika Łódzka
Tadeusz,Krygowski,5,1,0,0,chemia,Uniwersytet Warszawski
Ryszard,Kryza,5,1,0,0,geologia,Uniwersytet Wrocławski
Maciej,Krzakowski,4,1,0,1,medycyna,Centrum Onkologii - Instytut im. Marii Skłodowskiej-Curie w Warszawie
Kazimierz,Krzemień,5,0,1,1,geografia,Uniwersytet Jagielloński w Krakowie
Jan,Królikowski,5,1,1,0,fizyka,Uniwersytet Warszawski
Małgorzata,Książek-Czermińska,1,1,0,0,literaturoznawstwo,Uniwersytet Gdański
Maciej,Kuboń,3,0,0,1,inżynieria rolnicza,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie
Teresa,Kulak,1,1,0,0,historia,Uniwersytet Wrocławski
Paweł,Kulesza,5,0,0,1,chemia,Uniwersytet Warszawski Wydział Chemii
Jan,Kulig,4,1,0,0,medycyna,Uniwersytet Jagielloński w Krakowie
Małgorzata,Kupsik,7,0,1,1,rytmika i taniec,Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu
Marek,Kuryłowicz,1,1,1,0,prawo,Uniwersytet Marii Curie - Skłodowskiej w Lublinie
Piotr,Kusiewicz,7,1,1,1,wokalistyka,Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku
Mirosław,Kutyłowski,5,0,1,1,informatyka,Politechnika Wrocławska
Jan,Kuś,3,1,0,0,agronomia,Instytut Uprawy Nawożenia i Gleboznawstwa - PIB w Puławach
Jan,Kuś,4,1,1,0,medycyna,Instut Gruźlicy i Chorób Płuc w Warszawie
Stefan,Kwiatkowski,1,1,0,0,pedagogika,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie
Andrzej,Kwieciński,3,1,0,0,inżynieria rolnicza,Uniwersytet Przyrodniczy w Lublinie
Marian,Kwietniewski,6,0,0,1,inżynieria środowiska,Politechnika Warszawska
Grażyna,Kędzielawska,7,1,0,0,sztuki filmowe,Państwowa Wyższa Szkoła Filmowa Telewizyjna i Teatralna im. Leona Schillera w Łodzi
Krzysztof,Kłosiński,1,1,1,1,literaturoznawstwo,Uniwersytet Śląski w Katowicach
Bernard,Lammek,5,0,0,1,ochrona środowiska,Uniwersytet Gdański
Adrian,Langer,5,0,0,1,matematyka,Instytut Matematyczny Polskiej Akademii Nauk ORAZ Uniwersytet Warszawski
Józef,Langfort,4,0,0,1,nauki o kulturze fizycznej,Instytut Medycyny Doświadczalnej i Klinicznej im. Mirosława Mossakowskiego Polskiej Akademii Nauk ORAZ Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach
Piotr,Lass,4,0,0,1,nauki o zdrowiu,Uniwersytet Gdański
Rafał,Latała,5,0,1,0,matematyka,Uniwersytet Warszawski
Cyryl,Latos-Grażyński,5,1,1,1,chemia,Uniwersytet Wrocławski
Stanisław,Ledakowicz,5,0,1,0,biotechnologia,Politechnika Łódzka
Anna,Legeżyńska,1,1,1,1,literaturoznawstwo,Uniwersytet im. Adama Mickiewicza w Poznaniu
Grzegorz,Leszczyński,1,0,1,0,prawo kanoniczne,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie
Janusz,Lewandowski,6,0,1,1,energetyka,Politechnika Warszawska
Andrzej,Lewiński,4,1,1,1,medycyna,"Instytut ""Centrum Zdrowia Matki Polki"" w Łodzi"
Jan,Lichtarski,2,1,0,0,nauki o zarządzaniu,Uniwersytet Ekonomiczny we Wrocławiu
Janusz,Limon,4,1,1,0,biologia medyczna,Gdański Uniwersytet Medyczny
Janusz,Lipecki,3,1,0,0,ogrodnictwo,Uniwersytet Przyrodniczy w Lublinie
Janusz,Lipkowski,5,1,0,0,chemia,Instytut Chemii Fizycznej PAN w Warszawie
Jerzy,Lis,5,1,0,0,technologia chemiczna,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Andrzej,Lisowski,2,1,0,0,geografia,Uniwersytet Warszawski
Hanna,Litwińczuk,1,0,0,1,prawo,Uniwersytet Warszawski
Zygmunt,Litwińczuk,3,1,1,0,zootechnika,Uniwersytet Przyrodniczy w Lublinie
Stanisław,Lorenc,5,1,0,0,geologia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Tadeusz,Lubelski,1,1,1,0,nauki o sztuce,Uniwersytet Jagielloński w Krakowie
Tomasz,Mach,4,0,1,0,medycyna,Uniwersytet Jagielloński w Krakowie
Irena,Machaj,1,0,0,1,socjologia,Uniwersytet Szczeciński
Andrzej,Mackiewicz,4,1,1,1,medycyna,Uniwersytet Medyczny w Poznaniu
Janusz,Madej,3,1,0,0,nauki weterynaryjne,Uniwersytet Przyrodniczy w Wrocławiu
Andrzej,Makowski,1,1,0,0,nauki wojskowe,Akademia Marynarki Wojennej im. Bohaterów Westerplatte
Wojciech,Malajkat,7,0,1,0,sztuki teatralne,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie
Jacek,Malejczyk,4,0,1,0,biologia medyczna,Warszawski Uniwersytet Medyczny
Elżbieta,Malinowska,5,0,0,1,biotechnologia,Politechnika Warszawska
Jerzy,Manerowski,6,1,1,1,transport,Politechnika Warszawska
Krzysztof,Marchelek,6,1,0,0,budowa i eksploatacja maszyn,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie
Bogdan,Marciniec,5,1,0,0,chemia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Barbara,Markiewicz,1,1,0,0,filozofia,Uniwersytet Warszawski
Leszek,Marks,5,1,1,0,geologia,Uniwersytet Warszawski
Mirosława,Marody,1,0,0,1,socjologia,Uniwersytet Warszawski
Piotr,Masojć,3,0,0,1,agronomia,Zachodniopomorski Uniwersytet Technologiczny
Stanisław,Massel,5,1,0,0,oceanologia,Instytut Oceanologii PAN w Sopocie
Andrzej,Materka,6,0,0,1,elektronika,Politechnika Łódzka
Jacek,Matyszkiewicz,5,0,1,0,geologia,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Paweł,Małdyk,4,1,1,0,medycyna,Instytut Reumatologii im. prof. dr hab. med. Eleonory Reicher w Warszawie
Piotr,Małkowski,4,1,0,0,nauki o zdrowiu,Warszawski Uniwersytet Medyczny
Jolanta,Małyszko,4,0,0,1,medycyna,Uniwersytet Medyczny w Białymstoku
Elżbieta,Mańczak-Wohlfeld,1,1,1,1,językoznawstwo,Uniwersytet Jagielloński w Krakowie
Zbyszko,Melosik,1,1,0,1,pedagogika,Uniwersytet im. Adama Mickiewicza w Poznaniu
Wojciech,Michalak,1,1,0,0,nauki wojskowe,Akademia Obrony Narodowej w Warszawie
Elżbieta,Mikiciuk-Olasik,4,0,0,1,nauki farmaceutyczne,Uniwersytet Medyczny w Łodzi Katedra Chemii Farmaceutycznej
Katarzyna,Mikocka-Rachuba,1,0,1,0,historia sztuki,Instytut Sztuki Polskiej Akademii Nauk w Warszawie
Krzysztof,Mikulski,1,1,1,1,historia,Uniwersytet Mikołaja Kopernika w Toruniu
Eugeniusz,Milchert,5,0,1,0,technologia chemiczna,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie
Sławomir,Milewski,5,1,0,0,biotechnologia,Politechnika Gdańska
Andrzej,Misiuk,1,0,0,1,nauki o bezpieczeństwie,Uniwersytet Warszawski
Andrzej,Mocek,3,1,1,1,agronomia,Uniwersytet Przyrodniczy w Poznaniu
Waldemar,Moliński,3,0,1,0,drzewnictwo,Uniwersytet Przyrodniczy w Poznaniu
Janusz,Moryś,4,0,0,1,biologia medyczna,Gdański Uniwersytet Medyczny
Janusz,Mroczka,6,0,1,1,elektronika,Politechnika Wrocławska
Andrzej,Muszyński,5,0,0,1,geologia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Michał,Myśliwiec,4,1,1,0,medycyna,Uniwersytet Medyczny w Białymstoku
Jacek,Namieśnik,5,1,1,0,chemia,Politechnika Gdańska
Jarosław,Napiórkowski,5,0,1,1,geofizyka,Instytut Geofizyki PAN w Warszawie
Jacek,Nawrocki,5,0,1,0,ochrona środowiska,Uniwersytet im. Adama Mickiewicza w Poznaniu
Bogdan,Nogalski,2,1,1,0,nauki o zarządzaniu,Uniwersytet Gdański
Czesław,Nosal,1,1,0,0,psychologia,Szkoła Wyższa Psychologii Społecznej
Wojciech,Noszczyk,4,1,0,0,medycyna,Warszawski Uniwersytet Medyczny
Wiesław,Nowak,5,0,1,0,biofizyka,Uniwersytet Mikołaja Kopernika w Toruniu
Alina,Nowicka-Jeżowa,1,0,1,0,literaturoznawstwo,Uniwersytet Warszawski
Andrzej,Noworyta,6,0,1,0,inżynieria chemiczna,Politechnika Wrocławska
Piotr,Oleś,1,1,0,0,psychologia,Katolicki Uniwersytet Lubelski Jana Pawła II
Tomasz,Opala,4,1,1,0,nauki o zdrowiu,Uniwersytet Medyczny w Poznaniu
Grzegorz,Opolski,4,1,1,1,medycyna,Warszawski Uniwersytet Medyczny
Jacek,Osiewalski,2,0,1,0,ekonomia,Uniwersytet Ekonomiczny w Krakowie
