First name,Name,CK section,Term 2011-2012,Term 2013-2016,Term 2017-2020,Scientific discipline,Affiliation
Tomasz,Schramm,1,0,1,1,historia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Jacek,Siciński,3,0,1,1,ochrona środowiska,Uniwersytet Łódzki
Jakub,Siemek,6,1,0,0,górnictwo i geologia inżynierska,Akademia Górniczo-Hutnicza w Krakowie im. Stanisława Staszica
Jan,Sieniawski,6,0,1,1,inżynieria materiałowa,Politechnika Rzeszowska im. Ignacego Łukasiewicza
Bronisław,Sitek,1,0,0,1,prawo,SWPS Uniwersytet Humanistyczno-społeczny z siedzibą w Warszawie
Henryk,Skarżyński,4,0,1,1,medycyna,Instytut Fizjologii i Patologii Słuchu w Warszawie
Stanisław,Skompski,5,0,0,1,geologia,Uniwersytet Warszawski
Anna,Skorupska,3,0,1,0,biotechnologia,Uniwersytet Marii Curie-Skłodowskiej w Lublinie
Andrzej,Sobkowiak,5,0,0,1,technologia chemiczna,Politechnika Rzeszowska im. Ignacego Łukasiewicza
Bogdan,Sojkin,2,0,0,1,towaroznawstwo,Uniwersytet Ekonomiczny w Poznaniu
Barbara,Sosińska-Kalata,1,0,1,0,bibliologia i informatologia,Uniwersytet Warszawski
Roman,Srzednicki,5,1,0,0,matematyka,Uniwersytet Jagielloński w Krakowie
Marian,Stala,1,0,1,1,literaturoznawstwo,Uniwersytet Jagielloński w Krakowie
Teresa,Starzyńska,4,0,1,1,medycyna,Pomorski Uniwersytet Medyczny w Szczecinie
Łukasz,Stettner,5,0,1,0,matematyka,Instytut Matematyczny PAN w Warszawie
Grażyna,Stochel,5,0,0,1,chemia,Uniwersytet Jagielloński
Zygmunt,Strent,7,1,0,0,sztuki piękne,Akademia Sztuk Pięknych w Warszawie
Krzysztof,Strojek,4,0,0,1,medycyna,Śląski Uniwersytet Medyczny w Katowicach
Tadeusz,Stryjakiewicz,2,0,1,1,geografia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Jerzy,Strzelczyk,1,1,0,0,historia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Jerzy,Stuhr,7,1,0,0,sztuki teatralne,Państwowa Wyższa Szkoła Teatralna im. Ludwika Solskiego w Krakowie
Roch,Sulima,1,1,0,0,kulturoznawstwo,Uniwersytet Warszawski
Jerzy,Supernat,1,0,0,1,nauki o administracji,Uniwersytet Wrocławski
Antoni,Sułek,1,0,1,0,socjologia,Uniwersytet Warszawski
Janusz,Sylwester,5,0,1,1,geofizyka,Centrum Badań Kosmicznych PAN - filia Wrocław
Irena,Szadkowska-Stańczyk,4,0,1,0,nauki o zdrowiu,Instytut Medycyny Pracy im. prof. dr. med. Jerzego Nofera w Łodzi
Jerzy,Szaflik,4,0,1,0,medycyna,Warszawski Uniwersytet Medyczny
Józef,Szala,6,1,0,0,budowa i eksploatacja maszyn,Uniwersytet Technologiczno-Przyrodniczy im. Jan i Jędrzeja Śniadeckich w Bydgoszczy
Marek,Szczepański,1,1,1,1,socjologia,Uniwersytet Śląski w Katowicach
Jan,Szczerbowski,3,1,0,0,rybactwo,Instytut Rybactwa Śródlądowego im. S. Sakowicza w Olsztynie
Piotr,Szefer,4,1,1,0,nauki farmaceutyczne,Gdański Uniwersytet Medyczny
Józef,Szlachta,3,1,1,0,inżynieria rolnicza,Uniwersytet Przyrodniczy we Wrocławiu
Krzysztof,Szlifirski,7,1,0,0,reżyseria dźwięku,Uniwersytet Muzyczny Fryderyka Chopina w Warszawie
Józef,Szmeja,3,0,1,1,ekologia,Uniwersytet Gdański
Tadeusz,Szubka,1,0,0,1,filozofia,Uniwersytet Szczeciński
Józef,Szudy,5,1,0,0,fizyka,Uniwersytet Mikołaja Kopernika w Toruniu
Władysława,Szulakiewicz,1,0,0,1,pedagogika,Uniwersytet Mikołaja Kopernika
Tadeusz,Szulc,3,1,0,0,zootechnika,Uniwersytet Przyrodniczy we Wrocławiu
Jerzy,Szwagrzyk,3,0,1,0,ekologia,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie
Ryszard,Szwarc,5,0,1,0,matematyka,Uniwersytet Wrocławski
Zofia,Szweykowska-Kulińska,3,1,1,1,biologia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Antoni,Szydło,6,0,1,1,budownictwa,Politechnika Wrocławska
Andrzej,Sławiński,2,1,0,0,ekonomia,Szkoła Główna Handlowa w Warszawie
Ryszard,Słomski,3,0,1,1,biotechnologia,Uniwersytet Przyrodniczy w Poznaniu
Ryszard,Tadeusiewicz,6,1,0,0,automatyka i robotyka,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Antoni,Tajduś,6,0,1,1,górnictwo i geologia inżynierska,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Jan,Taler,6,0,1,1,energetyka,Politechnika Krakowska im. Tadeusza Kościuszki
Zdzisław,Targoński,3,1,1,1,biotechnologia,Uniwersytet Przyrodniczy w Lublinie
Elżbieta,Tarkowska,1,0,1,0,socjologia,Akademia Pedagogiki Specjalnej – socjologia
Andrzej,Tarlecki,5,1,0,0,informatyka,Uniwersytet Warszawski
Piotr,Tatjewski,6,0,0,1,automatyka i robotyka,Politechnika Warszawska
Michał,Tendera,4,1,1,1,medycyna,Śląski Uniwersytet Medyczny w Katowicach
Wiesław,Theiss,1,1,1,0,pedagogika,Uniwersytet Warszawski
Kazimierz,Tomala,3,0,1,0,ogrodnictwo,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie
Mieczysław,Tomaszewski,7,1,0,0,kompozycja i teoria muzyki,Akademia Muzyczna w Krakowie
Tomasz,Trojanowski,4,1,1,1,medycyna,Uniwersytet Medyczny w Lublinie
Tomasz,Twardowski,3,1,1,0,biochemia,Instytut Chemii Bioorganicznej PAN w Poznaniu
Włodzimierz,Tyburski,1,1,1,0,filozofia,Uniwersytet Mikołaja Kopernika w Toruniu
Andrzej,Tylikowski,6,1,0,0,mechanika,Politechnika Warszawska
Jan,Udała,3,0,0,1,zootechnika,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie
Jan,Wachowicz,6,0,1,1,górnictwo i geologia inżynierska,Główny Instytut Górnictwa w Katowicach
Bogdan,Walczak,1,1,0,0,językoznawstwo,Uniwersytet im. Adama Mickiewicza w Poznaniu
Jerzy,Walecki,4,0,1,1,medycyna,Centrum Medyczne Kształcenia Podyplomowego w Warszawie
Grzegorz,Wallner,4,0,1,1,medycyna,Uniwersytet Medyczny w Lublinie
Krzysztof,Warmuziński,6,1,0,0,inżynieria chemiczna,Instytut Inżynierii Chemicznej PAN w Gliwicach
Andrzej,Wernik,5,1,0,0,geofizyka,Centrum Badań Kosmicznych PAN w Warszawie
Anna,Wesołowska-Firlej,7,0,1,1,instrumentalistyka,Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi
Zbigniew,Wichłacz,7,0,1,0,sztuki filmowe,Państwowa Wyższa Szkoła Filmowa Telewizyjna i Teatralna im. Leona Schillera w Łodzi
Anna,Wiela-Hojeńska,4,0,0,1,nauki farmaceutyczne,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu
Marek,Wierzbowski,1,0,1,0,nauki o administracji,Uniwersytet Warszawski
Jan,Wiktor,2,0,0,1,nauki o zarządzaniu,Uniwersytet Ekonomiczny w Krakowie
Kazimiera,Wilk,5,0,0,1,technologia chemiczna,Politechnika Wrocławska
Ireneusz,Winnicki,5,0,0,1,geodezja i kartografia,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego
Tomasz,Winnicki,6,1,0,0,inżynieria środowiska,Karkonoska Państwowa Szkoła Wyższa w Jeleniej Górze
Andrzej,Wit,4,1,1,0,nauki o kulturze fizycznej,Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie
Edmund,Wnuk-Lipiński,1,1,1,0,socjologia,Instytut Studiów Politycznych PAN w Warszawie
Bogdan,Wojciszke,1,0,0,1,psychologia,SWPS Uniwersytet Humanistyczno-społeczny z siedzibą w Warszawie
Maria,Wojtak,1,1,1,1,językoznawstwo,Uniwersytet Marii Curie-Skłodowskiej w Lublinie
Konstanty,Wojtaszczyk,1,1,1,1,nauki o polityce,Uniwersytet Warszawski
Andrzej,Wojtowicz,4,0,0,1,stomatologia,Warszawski Uniwersytet Medyczny
Andrzej,Wojtyna,2,1,1,1,ekonomia,Uniwersytet Ekonomiczny w Krakowie
Maciej,Wojtyszko,7,1,0,0,sztuki teatralne,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie
Barbara,Wosiek,5,0,1,1,fizyka,Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego PAN w Krakowie
Nikodem,Wołk-Łaniewski,7,0,1,0,reżyseria dźwięku,Uniwersytet Muzyczny Fryderyka Chopina w Warszawie
Dariusz,Wołowiec,4,0,0,1,medycyna,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu
Małgorzata,Woźna-Stankiewicz,1,0,1,1,nauki o sztuce,Uniwersytet Jagielloński w Krakowie
Józef,Woźniak,6,1,1,1,telekomunikacja,Politechnika Gdańska
Marek,Woźniewski,4,1,1,0,nauki o kulturze fizycznej,Akademia Wychowania Fizycznego we Wrocławiu
Jerzy,Wróbel,6,1,0,0,budowa i eksploatacja maszyn,Politechnika Warszawska
Jacek,Wysocki,4,0,0,1,medycyna,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu
Karol,Wysokiński,5,1,1,1,fizyka,Uniwersytet Marii Curie-Skłodowskiej w Lublinie
Erwin,Wąsowicz,3,0,1,0,technologia żywności i żywienia,Uniwersytet Przyrodniczy w Poznaniu
Jerzy,Węcławski,2,0,0,1,finanse,Uniwersytet Marii Curie-Skłodowskiej w Lublinie
Jan,Węglarz,6,1,0,0,informatyka,Politechnika Poznańska
Grzegorz,Węgrzyn,3,1,0,1,biologia,Uniwersytet Gdański
Kazimierz,Zakrzewski,6,1,0,0,elektrotechnika,Politechnika Łódzka
Małgorzata,Zaleska,2,0,1,0,finanse,Szkoła Główna Handlowa w Warszawie
Józef,Zasadziński,6,1,0,0,metalurgia,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Bogdan,Zawadzki,1,0,1,1,psychologia,Uniwersytet Warszawski
Janusz,Zawadzki,3,0,0,1,drzewnictwo,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie ORAZ Warszawski Uniwersytet Medyczny
Anna,Zeidler-Janiszewska,1,0,1,0,kulturoznawstwo,Szkoła Wyższa Psychologii Społecznej w Warszawie
Maciej,Zieliński,1,1,0,0,prawo,Uniwersytet Szczeciński
Ryszard,Zimak,7,1,0,1,dyrygentura,Uniwersytet Muzyczny Fryderyka Chopina w Warszawie
Jerzy,Ziółko,6,1,0,0,budownictwo,Politechnika Gdańska
Andrzej,Zoll,1,1,0,0,prawo,Uniwersytet Jagielloński w Krakowie
Elżbieta,Zybert,1,0,0,1,bibliologia i informatologia,Uniwersytet Warszawski Wydział Dziennikarstwa Informacji i Bibliologii
